index,term,polarity,termFrom,termTo,context
0,staff,0,8,13,But the staff was so horrible to us.
1,food,2,57,61,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora."
2,food,2,4,8,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not."
3,menu,1,141,145,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not."
4,food,2,17,21,"Not only was the food outstanding, but the little 'perks' were great."
5,perks,2,51,56,"Not only was the food outstanding, but the little 'perks' were great."
6,waiters,2,76,83,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
7,meats,1,152,157,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
8,dish,1,113,117,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
9,Bagels,2,4,10,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy."
10,food,2,17,21,Nevertheless the food itself is pretty good.
11,toast,0,41,46,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
12,mayonnaise,0,18,28,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
13,cheese,1,73,79,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
14,ingredients,0,57,68,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
15,plate,1,170,175,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
16,omelet,1,86,92,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
17,drinks,1,82,88,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!"
18,check,1,32,37,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!"
19,atmosphere,2,15,25,The design and atmosphere is just as good.
20,cuisine,2,51,58,He has visited Thailand and is quite expert on the cuisine.
21,thin crusted pizza,1,34,52,The pizza is the best if you like thin crusted pizza.
22,interior decoration,2,28,47,"All the money went into the interior decoration, none of it went to the chefs."
23,chefs,0,72,77,"All the money went into the interior decoration, none of it went to the chefs."
24,seats,0,4,9,The seats are uncomfortable if you are sitting against the wall on wooden benches.
25,seltzer with lime,1,12,29,"I asked for seltzer with lime, no ice."
26,selection of meats and seafoods,2,91,122,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods."
27,dishes,1,74,80,My suggestion is to eat family style because you'll want to try the other dishes.
28,eat family style,2,20,36,My suggestion is to eat family style because you'll want to try the other dishes.
29,owner,2,34,39,"Best of all is the warm vibe, the owner is super friendly and service is fast."
30,service,2,62,69,"Best of all is the warm vibe, the owner is super friendly and service is fast."
31,delivery,0,53,61,Faan's got a great concept but a little rough on the delivery.
32,food,2,20,24,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
33,atmosphere,2,38,48,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
34,service,2,66,73,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
35,food,2,6,10,"Great food at REASONABLE prices, makes for an evening that can't be beat!"
36,prices,2,25,31,"Great food at REASONABLE prices, makes for an evening that can't be beat!"
37,interior decor,2,29,43,this little place has a cute interior decor and affordable city prices.
38,prices,2,64,70,this little place has a cute interior decor and affordable city prices.
39,wine,2,16,20,Two words: Free wine.
40,price,2,4,9,The price is reasonable although the service is poor.
41,service,0,37,44,The price is reasonable although the service is poor.
42,quantity,2,4,12,"The quantity is also very good, you will come out satisfied."
